OSNO (100, 840) 1 5 14 4 14 4 14 4 12 4 14 4 14 4 14 4 12 4 16 6 23 1 6 1 19 4 8 2 6 2 8 2 4 2 12 4 12 2 4 2 8 2 8 4 18 6 21 1 6 1 22 1 5 14 4 14 4 14 5 1 23 7 1 17 4 10 4 18 6 22 6 18 4 8 2 8 4 18 4 8 2 8 4 18 6 22 6 18 6 23 1 6 1 19 6 21 1 6 1 22
OSNO (106, 744) 1 5 12 2 4 2 8 2 6 2 8 2 4 2 10 2 2 2 14 5 1 23 6 16 4 10 2 6 4 20 6 20 6 18 4 10 2 2 2 14 4 10 2 4 2 12 5 1 21 6 19 1 6 1 23 6 16 4 10 2 4 2 10 2 4 2 8 2 6 2 8 4 18 4 8 2 6 2 6 2 10 4 16 6 23 1 5 14 2 2 2 10 2 4 2 10 4 16 6 23 1 6 1 19 6 21
// Start AutoPolyVary
CS   (332, 3152) 1 5 12 2 2 2 12 2 2 2 12 5 1 21 6 18 6 22 6 18 6 22 6 18 6 21 1 6 1 20 1 6 1 21 6 20 6 18 6 23 1 5 16 4 10 4 18 6 21 1 6 1 20 1 6 1 21 6 18 4 10 4 16 5 1 23 6 18 6 20 6 21 1 6 1 20 1 6 1 21 6 18 6 23 1 5 16 4 10 2 6 4 19 1 6 1 22 1 6 1 19 6 20 6 20 6 20 6 20 6 20 6 19 1 6 1 22 1 6 1 19 6 22 7 1 17 6 23 1 5 16 5 1 23 6 17 1 7 22 6 19 1 6 1 22 1 5 14 4 14 4 12 4 14 4 14 5 1 22 1 6 1 19 6 22 7 1 17 6 23 1 5 16 5 1 23 6 17 1 7 22 6 19 1 6 1 22 1 5 14 4 14 4 12 4 14 4 14 5 1 22 1 6 1 19 6 22 7 1 17 6 23 1 5 16 5 1 23 6 17 1 7 22 6 19 1 6 1 22 1 6 1 19 6 20 6 20 6 20 6 20 6 20 6 19 1 6 1 22 1 6 1 19 4 6 2 10 4 16 5 1 23 6 18 6 21 1 6 1 20 1 6 1 21 6 20 6 18 6 23 1 5 16 4 10 4 18 6 21 1 6 1 20 1 6 1 21 6 18 4 10 4 16 5 1 23 6 18 6 20 6 21 1 6 1 20 1 6 1 21 6 18 6 22 6 18 6 22 6 18 6 21
CS   (304, 2752) 1 5 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 5 1 21 6 20 6 19 1 6 1 23 6 16 6 24 7 1 19 6 20 6 19 1 7 24 6 16 6 24 7 1 19 6 20 6 20 6 18 4 10 4 18 6 20 6 20 6 20 6 18 4 10 4 18 6 20 6 20 6 20 6 18 4 10 4 18 6 20 6 20 6 19 1 7 24 6 16 6 24 7 1 19 6 20 6 19 1 7 24 6 16 6 23 1 6 1 19 6 20 6 21 1 5 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 5 1 21 6 20 6 20 6 18 5 1 24 1 5 16 4 10 2 4 2 10 4 16 4 10 2 4 2 10 4 16 5 1 24 1 5 18 6 20 6 20 6 21 1 5 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 5 1 21 6 20 6 19 1 6 1 23 7 1 17 4 10 2 4 2 8 2 6 2 8 2 4 2 10 4 17 1 7 23 1 6 1 19 6 20 6 21 1 5 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 5 1 21 6 20 6 20 6 18 5 1 24 1 5 16 4 10 2 4 2 10 4 16 4 10 2 4 2 10 4 16 5 1 24 1 5 18 6 20 6 20 6 21
CS   (264, 2168) 1 5 14 4 14 4 12 4 14 4 12 2 4 2 8 4 18 6 22 6 18 6 21 1 6 1 20 1 6 1 21 6 20 6 18 6 23 1 5 16 4 10 2 4 2 10 4 16 5 1 23 6 17 1 7 22 6 18 4 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 4 18 6 22 6 16 4 10 2 6 2 6 2 6 2 10 4 16 6 22 6 18 4 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 4 18 6 22 7 1 17 6 23 1 5 16 4 10 2 4 2 10 4 16 5 1 23 6 18 6 20 6 21 1 6 1 20 1 6 1 21 6 18 6 22 6 18 4 8 2 4 2 12 4 14 4 12 4 14 4 14 5 1 22 1 6 1 19 6 22 7 1 17 5 1 24 1 5 16 4 10 2 4 2 10 4 16 4 10 2 4 2 10 4 16 5 1 23 6 18 6 21 1 6 1 21 6 18 6 21 1 6 1 21 6 18 6 23 1 5 16 4 10 2 4 2 10 4 16 4 10 2 4 2 10 4 16 5 1 24 1 5 17 1 7 22 6 19 1 6 1 22
CS   (584, 4616) 1 5 14 2 2 2 10 4 18 6 20 6 20 4 6 2 10 4 16 6 23 1 5 14 4 14 4 14 5 1 22 1 6 1 20 1 6 1 21 6 20 6 19 1 6 1 23 6 16 4 12 4 14 4 12 4 16 6 23 1 6 1 19 6 20 6 21 1 6 1 20 1 6 1 22 1 5 14 4 14 4 14 5 1 23 6 16 4 10 2 6 4 20 6 20 6 18 4 10 2 2 2 14 5 1 22 1 6 1 20 1 6 1 21 6 20 6 19 1 6 1 23 6 16 4 10 2 6 4 20 6 19 1 6 1 23 6 16 4 12 4 14 4 12 4 16 5 1 24 1 5 16 4 12 4 14 4 12 4 16 6 23 1 6 1 19 6 20 4 6 2 10 4 16 6 23 1 6 1 19 6 20 6 21 1 6 1 20 1 6 1 22 1 5 14 2 2 2 10 4 18 6 20 6 21 1 5 14 4 12 4 16 5 1 24 1 5 16 4 12 4 14 4 12 4 16 4 10 4 16 4 12 4 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 4 14 5 1 23 6 16 4 10 2 4 2 10 2 4 2 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 6 2 10 4 16 6 23 1 6 1 19 6 20 6 21 1 6 1 20 1 6 1 21 6 20 6 19 1 6 1 23 6 16 4 10 2 6 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 8 4 18 4 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 2 4 2 10 2 4 2 8 2 6 2 8 2 4 2 10 2 4 2 10 4 16 6 23 1 5 14 4 14 4 12 2 2 2 12 4 14 4 12 2 2 2 12 4 14 4 12 4 16 4 10 4 16 4 12 4 14 4 12 4 16 5 1 24 1 5 16 4 12 4 14 5 1 21 6 20 6 18 4 10 2 2 2 14 5 1 22 1 6 1 20 1 6 1 21 6 20 6 19 1 6 1 23 6 16 4 10 2 6 4 20 6 19 1 6 1 23 6 16 4 12 4 14 4 12 4 16 5 1 24 1 5 16 4 12 4 14 4 12 4 16 6 23 1 6 1 19 6 20 4 6 2 10 4 16 6 23 1 6 1 19 6 20 6 21 1 6 1 20 1 6 1 22
CS   (284, 3220) 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 7 24 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 7 24 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 24 7 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 24 7 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23
CS   (188, 2148) 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 7 24 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 7 24 6 18 6 22 6 18 6 24 7 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23 1 6 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 24 7 1 19 6 22 6 18 6 22 6 19 1 6 1 23 6 18 6 22 6 18 6 23
CS   (268, 2412) 1 5 14 2 2 2 12 4 12 2 4 2 10 4 16 5 1 23 6 18 6 22 6 19 1 6 1 23 6 16 4 12 4 16 6 23 1 6 1 19 6 22 6 18 6 23 1 5 16 4 10 2 4 2 12 4 12 2 2 2 14 5 1 23 7 1 17 5 1 24 1 5 16 4 12 4 16 6 23 1 6 1 19 6 21 1 6 1 21 6 19 1 6 1 23 6 16 4 12 4 16 5 1 24 1 5 16 4 12 2 2 2 12 4 14 4 14 4 12 4 16 5 1 23 6 18 6 23 1 5 16 5 1 23 6 18 6 22 6 18 5 1 24 1 5 16 4 12 4 14 4 14 4 14 5 1 22 1 5 14 4 14 4 12 4 16 4 12 4 14 4 14 5 1 22 1 5 14 4 14 4 14 4 12 4 16 5 1 24 1 5 18 6 22 6 18 6 23 1 5 16 5 1 23 6 18 6 23 1 5 16 4 12 4 14 4 14 4 12 2 2 2 12 4 16 5 1 24 1 5 16 4 12 4 16 6 23 1 6 1 19 6 21 1 6 1 21 6 19 1 6 1 23 6 16 4 12 4 16 5 1 24 1 5 17 1 7 23
